ACACIA_BOAT	Acacia Boat	Bateau en acacia
PACKED_ICE	Packed Ice	Glace compactée
PACKED_MUD	Packed Mud	Terre crue
PAINTING	Painting	Tableau
PALE_HANGING_MOSS	Pale Hanging Moss	Mousse pâle suspendue
PALE_MOSS_BLOCK	Pale Moss Block	Bloc de mousse pâle
PALE_MOSS_CARPET	Pale Moss Carpet	Tapis de mousse pâle
PALE_OAK_BOAT	Pale Oak Boat	Bateau en chêne pâle
PALE_OAK_BUTTON	Pale Oak Button	Bouton en chêne pâle
PALE_OAK_CHEST_BOAT	Pale Oak Boat with Chest	Bateau de stockage en chêne pâle
PALE_OAK_DOOR	Pale Oak Door	Porte en chêne pâle
PALE_OAK_FENCE	Pale Oak Fence	Barrière en chêne pâle
PALE_OAK_FENCE_GATE	Pale Oak Fence Gate	Portillon en chêne pâle
PALE_OAK_HANGING_SIGN	Pale Oak Hanging Sign	Pancarte suspendue en chêne pâle
PALE_OAK_LEAVES	Pale Oak Leaves	Feuilles de chêne pâle
PALE_OAK_LOG	Pale Oak Log	Bûche de chêne pâle
PALE_OAK_PLANKS	Pale Oak Planks	Planches de chêne pâle
PALE_OAK_PRESSURE_PLATE	Pale Oak Pressure Plate	Plaque de pression en chêne pâle
PALE_OAK_SAPLING	Pale Oak Sapling	Pousse de chêne pâle
PALE_OAK_SHELF	Pale Oak Shelf	Étagère en chêne pâle
PALE_OAK_SIGN	Pale Oak Sign	Pancarte en chêne pâle
PALE_OAK_SLAB	Pale Oak Slab	Dalle en chêne pâle
PALE_OAK_STAIRS	Pale Oak Stairs	Escalier en chêne pâle
PALE_OAK_TRAPDOOR	Pale Oak Trapdoor	Trappe en chêne pâle
PALE_OAK_WALL_HANGING_SIGN	Pale Oak Wall Hanging Sign	Pancarte suspendue en chêne pâle murale
PALE_OAK_WALL_SIGN	Pale Oak Wall Sign	Pancarte en chêne pâle murale
PALE_OAK_WOOD	Pale Oak Wood	Bois de chêne pâle
PANDA_SPAWN_EGG	Panda Spawn Egg	Oeuf d'apparition de panda
PAPER	Paper	Papier
PARCHED_SPAWN_EGG	Parched Spawn Egg	Oeuf d'apparition de desséché
PARROT_SPAWN_EGG	Parrot Spawn Egg	Oeuf d'apparition de perroquet
PEARLESCENT_FROGLIGHT	Pearlescent Froglight	Grelampe nacrée
PEONY	Peony	Pivoine
PETRIFIED_OAK_SLAB	Petrified Oak Slab	Dalle en chêne pétrifiée
PHANTOM_MEMBRANE	Phantom Membrane	Membrane de Phantom
PHANTOM_SPAWN_EGG	Phantom Spawn Egg	Oeuf d'apparition de Phantom
PIGLIN_BANNER_PATTERN	Banner Pattern	Motif de bannière
PIGLIN_BRUTE_SPAWN_EGG	Piglin Brute Spawn Egg	Oeuf d'apparition de Piglin barbare
PIGLIN_HEAD	Piglin Head	Tête de Piglin
PIGLIN_SPAWN_EGG	Piglin Spawn Egg	Oeuf d'apparition de Piglin
PIGLIN_WALL_HEAD	Piglin Wall Head	Tête de Piglin murale
PIG_SPAWN_EGG	Pig Spawn Egg	Oeuf d'apparition de cochon
PILLAGER_SPAWN_EGG	Pillager Spawn Egg	Oeuf d'apparition de pillard
PINK_BANNER	Pink Banner	Bannière rose
PINK_BED	Pink Bed	Lit rose
PINK_BUNDLE	Pink Bundle	Sac rose
PINK_CANDLE	Pink Candle	Bougie rose
PINK_CANDLE_CAKE	Cake with Pink Candle	Gâteau à bougie rose
PINK_CARPET	Pink Carpet	Tapis rose
PINK_CONCRETE	Pink Concrete	Béton rose
PINK_CONCRETE_POWDER	Pink Concrete Powder	Béton rose en poudre
PINK_DYE	Pink Dye	Teinture rose
PINK_GLAZED_TERRACOTTA	Pink Glazed Terracotta	Terre cuite émaillée rose
PINK_HARNESS	Pink Harness	Harnais rose
PINK_PETALS	Pink Petals	Pétales roses
PINK_SHULKER_BOX	Pink Shulker Box	Boîte de Shulker rose
PINK_STAINED_GLASS	Pink Stained Glass	Verre rose
PINK_STAINED_GLASS_PANE	Pink Stained Glass Pane	Vitre rose
PINK_TERRACOTTA	Pink Terracotta	Terre cuite rose
PINK_TULIP	Pink Tulip	Tulipe rose
PINK_WOOL	Pink Wool	Laine rose
PISTON	Piston	Piston
PISTON_HEAD	Piston Head	Tête de piston
PITCHER_CROP	Pitcher Crop	Plant de planturne
PITCHER_PLANT	Pitcher Plant	Planturne
PITCHER_POD	Pitcher Pod	Gousse de planturne
PLAYER_HEAD	Player Head	Tête de joueur
PLAYER_WALL_HEAD	Player Wall Head	Tête de joueur murale
PLENTY_POTTERY_SHERD	Plenty Pottery Sherd	Tesson de poterie de richesse
PODZOL	Podzol	Podzol
POINTED_DRIPSTONE	Pointed Dripstone	Spéléothème pointu
POISONOUS_POTATO	Poisonous Potato	Pomme de terre empoisonnée
POLAR_BEAR_SPAWN_EGG	Polar Bear Spawn Egg	Oeuf d'apparition d'ours blanc
POLISHED_ANDESITE	Polished Andesite	Andésite polie
POLISHED_ANDESITE_SLAB	Polished Andesite Slab	Dalle d'andésite polie
POLISHED_ANDESITE_STAIRS	Polished Andesite Stairs	Escalier en andésite polie
POLISHED_BASALT	Polished Basalt	Basalte poli
POLISHED_BLACKSTONE	Polished Blackstone	Pierre noire
POLISHED_BLACKSTONE_BRICKS	Polished Blackstone Bricks	Pierre noire taillée
POLISHED_BLACKSTONE_BRICK_SLAB	Polished Blackstone Brick Slab	Dalle de pierre noire taillée
POLISHED_BLACKSTONE_BRICK_STAIRS	Polished Blackstone Brick Stairs	Escalier en pierre noire taillée
POLISHED_BLACKSTONE_BRICK_WALL	Polished Blackstone Brick Wall	Muret de pierre noire taillée
POLISHED_BLACKSTONE_BUTTON	Polished Blackstone Button	Bouton en pierre noire
POLISHED_BLACKSTONE_PRESSURE_PLATE	Polished Blackstone Pressure Plate	Plaque de pression en pierre noire
POLISHED_BLACKSTONE_SLAB	Polished Blackstone Slab	Dalle de pierre noire
POLISHED_BLACKSTONE_STAIRS	Polished Blackstone Stairs	Escalier en pierre noire
POLISHED_BLACKSTONE_WALL	Polished Blackstone Wall	Muret de pierre noire
POLISHED_CINNABAR	Polished Cinnabar	Cinabre poli
POLISHED_CINNABAR_SLAB	Polished Cinnabar Slab	Dalle de cinabre poli
POLISHED_CINNABAR_STAIRS	Polished Cinnabar Stairs	Escalier en cinabre poli
POLISHED_CINNABAR_WALL	Polished Cinnabar Wall	Muret en cinabre poli
POLISHED_DEEPSLATE	Polished Deepslate	Ardoise des abîmes polie
POLISHED_DEEPSLATE_SLAB	Polished Deepslate Slab	Dalle d'ardoise des abîmes polie
POLISHED_DEEPSLATE_STAIRS	Polished Deepslate Stairs	Escalier en ardoise des abîmes polie
POLISHED_DEEPSLATE_WALL	Polished Deepslate Wall	Muret d'ardoise des abîmes polie
POLISHED_DIORITE	Polished Diorite	Diorite polie
POLISHED_DIORITE_SLAB	Polished Diorite Slab	Dalle de diorite polie
POLISHED_DIORITE_STAIRS	Polished Diorite Stairs	Escalier en diorite polie
POLISHED_GRANITE	Polished Granite	Granite poli
POLISHED_GRANITE_SLAB	Polished Granite Slab	Dalle de granite poli
POLISHED_GRANITE_STAIRS	Polished Granite Stairs	Escalier en granite poli
POLISHED_SULFUR	Polished Sulfur	Soufre poli
POLISHED_SULFUR_SLAB	Polished Sulfur Slab	Dalle de soufre poli
POLISHED_SULFUR_STAIRS	Polished Sulfur Stairs	Escalier en soufre poli
POLISHED_SULFUR_WALL	Polished Sulfur Wall	Muret en soufre poli
POLISHED_TUFF	Polished Tuff	Tuf poli
POLISHED_TUFF_SLAB	Polished Tuff Slab	Dalle de tuf poli
POLISHED_TUFF_STAIRS	Polished Tuff Stairs	Escalier en tuf poli
POLISHED_TUFF_WALL	Polished Tuff Wall	Muret de tuf poli
POPPED_CHORUS_FRUIT	Popped Chorus Fruit	Chorus éclaté
POPPY	Poppy	Coquelicot
PORKCHOP	Raw Porkchop	Côtelette de porc crue
POTATO	Potato	Pomme de terre
POTATOES	Potatoes	Pommes de terre
POTENT_SULFUR	Potent Sulfur	Soufre concentre
POTION	Potion	Potion
POTTED_ACACIA_SAPLING	Potted Acacia Sapling	Pousse d'acacia en pot
POTTED_ALLIUM	Potted Allium	Allium en pot
POTTED_AZALEA_BUSH	Potted Azalea	Azalée en pot
POTTED_AZURE_BLUET	Potted Azure Bluet	Houstonie bleue en pot
POTTED_BAMBOO	Potted Bamboo	Bambou en pot
POTTED_BIRCH_SAPLING	Potted Birch Sapling	Pousse de bouleau en pot
POTTED_BLUE_ORCHID	Potted Blue Orchid	Orchidée bleue en pot
POTTED_BROWN_MUSHROOM	Potted Brown Mushroom	Champignon brun en pot
POTTED_CACTUS	Potted Cactus	Cactus en pot
POTTED_CHERRY_SAPLING	Potted Cherry Sapling	Pousse de cerisier en pot
POTTED_CLOSED_EYEBLOSSOM	Potted Closed Eyeblossom	Oeilchidée fermée en pot
POTTED_CORNFLOWER	Potted Cornflower	Bleuet en pot
POTTED_CRIMSON_FUNGUS	Potted Crimson Fungus	Champignon carmin en pot
POTTED_CRIMSON_ROOTS	Potted Crimson Roots	Racines carmin en pot
POTTED_DANDELION	Potted Dandelion	Pissenlit en pot
POTTED_DARK_OAK_SAPLING	Potted Dark Oak Sapling	Pousse de chêne noir en pot
POTTED_DEAD_BUSH	Potted Dead Bush	Buisson mort en pot
POTTED_FERN	Potted Fern	Fougère en pot
POTTED_FLOWERING_AZALEA_BUSH	Potted Flowering Azalea	Azalée fleurie en pot
POTTED_GOLDEN_DANDELION	Potted Golden Dandelion	Pissenlit dore en pot
POTTED_JUNGLE_SAPLING	Potted Jungle Sapling	Pousse d'acajou en pot
POTTED_LILY_OF_THE_VALLEY	Potted Lily of the Valley	Muguet en pot
POTTED_MANGROVE_PROPAGULE	Potted Mangrove Propagule	Propagule de palétuvier en pot
POTTED_OAK_SAPLING	Potted Oak Sapling	Pousse de chêne en pot
POTTED_OPEN_EYEBLOSSOM	Potted Open Eyeblossom	Oeilchidée ouverte en pot
POTTED_ORANGE_TULIP	Potted Orange Tulip	Tulipe orange en pot
POTTED_OXEYE_DAISY	Potted Oxeye Daisy	Marguerite en pot
POTTED_PALE_OAK_SAPLING	Potted Pale Oak Sapling	Pousse de chêne pâle en pot
POTTED_PINK_TULIP	Potted Pink Tulip	Tulipe rose en pot
POTTED_POPPY	Potted Poppy	Coquelicot en pot
POTTED_RED_MUSHROOM	Potted Red Mushroom	Champignon rouge en pot
POTTED_RED_TULIP	Potted Red Tulip	Tulipe rouge en pot
POTTED_SPRUCE_SAPLING	Potted Spruce Sapling	Pousse de sapin en pot
POTTED_TORCHFLOWER	Potted Torchflower	Torche-fleur en pot
POTTED_WARPED_FUNGUS	Potted Warped Fungus	Champignon biscornu en pot
POTTED_WARPED_ROOTS	Potted Warped Roots	Racines biscornues en pot
POTTED_WHITE_TULIP	Potted White Tulip	Tulipe blanche en pot
POTTED_WITHER_ROSE	Potted Wither Rose	Rose de Wither en pot
POWDER_SNOW	Powder Snow	Neige poudreuse
POWDER_SNOW_BUCKET	Powder Snow Bucket	Seau de neige poudreuse
POWDER_SNOW_CAULDRON	Powder Snow Cauldron	Chaudron de neige poudreuse
POWERED_RAIL	Powered Rail	Rails de propulsion
PRISMARINE	Prismarine	Prismarine
PRISMARINE_BRICKS	Prismarine Bricks	Briques de prismarine
PRISMARINE_BRICK_SLAB	Prismarine Brick Slab	Dalle de briques de prismarine
PRISMARINE_BRICK_STAIRS	Prismarine Brick Stairs	Escalier en briques de prismarine
PRISMARINE_CRYSTALS	Prismarine Crystals	Cristaux de prismarine
PRISMARINE_SHARD	Prismarine Shard	Éclat de prismarine
PRISMARINE_SLAB	Prismarine Slab	Dalle de prismarine
PRISMARINE_STAIRS	Prismarine Stairs	Escalier en prismarine
PRISMARINE_WALL	Prismarine Wall	Muret de prismarine
PRIZE_POTTERY_SHERD	Prize Pottery Sherd	Tesson de poterie de joyau
PUFFERFISH	Pufferfish	Poisson-globe
PUFFERFISH_BUCKET	Bucket of Pufferfish	Poisson-globe dans un seau
PUFFERFISH_SPAWN_EGG	Pufferfish Spawn Egg	Oeuf d'apparition de poisson-globe
PUMPKIN	Pumpkin	Citrouille
PUMPKIN_PIE	Pumpkin Pie	Tarte à la citrouille
PUMPKIN_SEEDS	Pumpkin Seeds	Graines de citrouille
PUMPKIN_STEM	Pumpkin Stem	Tige de citrouille
PURPLE_BANNER	Purple Banner	Bannière violette
PURPLE_BED	Purple Bed	Lit violet
PURPLE_BUNDLE	Purple Bundle	Sac violet
PURPLE_CANDLE	Purple Candle	Bougie violette
PURPLE_CANDLE_CAKE	Cake with Purple Candle	Gâteau à bougie violette
PURPLE_CARPET	Purple Carpet	Tapis violet
PURPLE_CONCRETE	Purple Concrete	Béton violet
PURPLE_CONCRETE_POWDER	Purple Concrete Powder	Béton violet en poudre
PURPLE_DYE	Purple Dye	Teinture violette
PURPLE_GLAZED_TERRACOTTA	Purple Glazed Terracotta	Terre cuite émaillée violette
PURPLE_HARNESS	Purple Harness	Harnais violet
PURPLE_SHULKER_BOX	Purple Shulker Box	Boîte de Shulker violette
PURPLE_STAINED_GLASS	Purple Stained Glass	Verre violet
PURPLE_STAINED_GLASS_PANE	Purple Stained Glass Pane	Vitre violette
PURPLE_TERRACOTTA	Purple Terracotta	Terre cuite violette
PURPLE_WOOL	Purple Wool	Laine violette
PURPUR_BLOCK	Purpur Block	Bloc de purpur
PURPUR_PILLAR	Purpur Pillar	Pilier de purpur
PURPUR_SLAB	Purpur Slab	Dalle de purpur
PURPUR_STAIRS	Purpur Stairs	Escalier en purpur
QUARTZ	Nether Quartz	Quartz du Nether
QUARTZ_BLOCK	Block of Quartz	Bloc de quartz
QUARTZ_BRICKS	Quartz Bricks	Briques de quartz
QUARTZ_PILLAR	Quartz Pillar	Pilier de quartz
QUARTZ_SLAB	Quartz Slab	Dalle de quartz
QUARTZ_STAIRS	Quartz Stairs	Escalier en quartz
RABBIT	Raw Rabbit	Lapin cru
RABBIT_FOOT	Rabbit's Foot	Patte de lapin
RABBIT_HIDE	Rabbit Hide	Peau de lapin
RABBIT_SPAWN_EGG	Rabbit Spawn Egg	Oeuf d'apparition de lapin
RABBIT_STEW	Rabbit Stew	Ragoût de lapin
RAIL	Rail	Rails
RAISER_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
RAVAGER_SPAWN_EGG	Ravager Spawn Egg	Oeuf d'apparition de ravageur
RAW_COPPER	Raw Copper	Cuivre brut
RAW_COPPER_BLOCK	Block of Raw Copper	Bloc de cuivre brut
RAW_GOLD	Raw Gold	Or brut
RAW_GOLD_BLOCK	Block of Raw Gold	Bloc d'or brut
RAW_IRON	Raw Iron	Fer brut
RAW_IRON_BLOCK	Block of Raw Iron	Bloc de fer brut
RECOVERY_COMPASS	Recovery Compass	Boussole de récupération
REDSTONE	Redstone Dust	Poudre de redstone
REDSTONE_BLOCK	Block of Redstone	Bloc de redstone
REDSTONE_LAMP	Redstone Lamp	Lampe à redstone
REDSTONE_ORE	Redstone Ore	Minerai de redstone
REDSTONE_TORCH	Redstone Torch	Torche de redstone
REDSTONE_WALL_TORCH	Redstone Wall Torch	Torche de redstone murale
REDSTONE_WIRE	Redstone Wire	Câble de redstone
RED_BANNER	Red Banner	Bannière rouge
RED_BED	Red Bed	Lit rouge
RED_BUNDLE	Red Bundle	Sac rouge
RED_CANDLE	Red Candle	Bougie rouge
RED_CANDLE_CAKE	Cake with Red Candle	Gâteau à bougie rouge
RED_CARPET	Red Carpet	Tapis rouge
RED_CONCRETE	Red Concrete	Béton rouge
RED_CONCRETE_POWDER	Red Concrete Powder	Béton rouge en poudre
RED_DYE	Red Dye	Teinture rouge
RED_GLAZED_TERRACOTTA	Red Glazed Terracotta	Terre cuite émaillée rouge
RED_HARNESS	Red Harness	Harnais rouge
RED_MUSHROOM	Red Mushroom	Champignon rouge
RED_MUSHROOM_BLOCK	Red Mushroom Block	Bloc de champignon rouge
RED_NETHER_BRICKS	Red Nether Bricks	Briques rouges du Nether
RED_NETHER_BRICK_SLAB	Red Nether Brick Slab	Dalle de briques rouges du Nether
RED_NETHER_BRICK_STAIRS	Red Nether Brick Stairs	Escalier en briques rouges du Nether
RED_NETHER_BRICK_WALL	Red Nether Brick Wall	Muret de briques rouges du Nether
RED_SAND	Red Sand	Sable rouge
RED_SANDSTONE	Red Sandstone	Grès rouge
RED_SANDSTONE_SLAB	Red Sandstone Slab	Dalle de grès rouge
RED_SANDSTONE_STAIRS	Red Sandstone Stairs	Escalier en grès rouge
RED_SANDSTONE_WALL	Red Sandstone Wall	Muret de grès rouge
RED_SHULKER_BOX	Red Shulker Box	Boîte de Shulker rouge
RED_STAINED_GLASS	Red Stained Glass	Verre rouge
RED_STAINED_GLASS_PANE	Red Stained Glass Pane	Vitre rouge
RED_TERRACOTTA	Red Terracotta	Terre cuite rouge
RED_TULIP	Red Tulip	Tulipe rouge
RED_WOOL	Red Wool	Laine rouge
REINFORCED_DEEPSLATE	Reinforced Deepslate	Ardoise des abîmes renforcée
REPEATER	Redstone Repeater	Répéteur de redstone
REPEATING_COMMAND_BLOCK	Repeating Command Block	Bloc de commande à répétition
RESIN_BLOCK	Block of Resin	Bloc de résine
RESIN_BRICK	Resin Brick	Brique de résine
RESIN_BRICKS	Resin Bricks	Briques de résine
RESIN_BRICK_SLAB	Resin Brick Slab	Dalle de briques de résine
RESIN_BRICK_STAIRS	Resin Brick Stairs	Escalier en briques de résine
RESIN_BRICK_WALL	Resin Brick Wall	Muret de briques de résine
RESIN_CLUMP	Resin Clump	Amas de résine
RESPAWN_ANCHOR	Respawn Anchor	Ancre de réapparition
RIB_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
ROOTED_DIRT	Rooted Dirt	Terre racineuse
ROSE_BUSH	Rose Bush	Rosier
ROTTEN_FLESH	Rotten Flesh	Chair putréfiée
SADDLE	Saddle	Selle
SALMON	Raw Salmon	Saumon cru
SALMON_BUCKET	Bucket of Salmon	Saumon dans un seau
SALMON_SPAWN_EGG	Salmon Spawn Egg	Oeuf d'apparition de saumon
SAND	Sand	Sable
SANDSTONE	Sandstone	Grès
SANDSTONE_SLAB	Sandstone Slab	Dalle de grès
SANDSTONE_STAIRS	Sandstone Stairs	Escalier en grès
SANDSTONE_WALL	Sandstone Wall	Muret de grès
SCAFFOLDING	Scaffolding	Échafaudage
SCRAPE_POTTERY_SHERD	Scrape Pottery Sherd	Tesson de poterie de hache
SCULK	Sculk	Sculk
SCULK_CATALYST	Sculk Catalyst	Catalyseur de sculk
SCULK_SENSOR	Sculk Sensor	Capteur sculk
SCULK_SHRIEKER	Sculk Shrieker	Hurleur sculk
SCULK_VEIN	Sculk Vein	Veine de sculk
SEAGRASS	Seagrass	Herbe aquatique
SEA_LANTERN	Sea Lantern	Lanterne aquatique
SEA_PICKLE	Sea Pickle	Cornichon de mer
SENTRY_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
SHAPER_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
SHEAF_POTTERY_SHERD	Sheaf Pottery Sherd	Tesson de poterie d'épis
SHEARS	Shears	Cisailles
SHEEP_SPAWN_EGG	Sheep Spawn Egg	Oeuf d'apparition de mouton
SHELTER_POTTERY_SHERD	Shelter Pottery Sherd	Tesson de poterie d'abri
SHIELD	Shield	Bouclier
SHORT_DRY_GRASS	Short Dry Grass	Herbes courtes sèches
SHORT_GRASS	Short Grass	Herbes courtes
SHROOMLIGHT	Shroomlight	Champilampe
SHULKER_BOX	Shulker Box	Boîte de Shulker
SHULKER_SHELL	Shulker Shell	Carapace de Shulker
SHULKER_SPAWN_EGG	Shulker Spawn Egg	Oeuf d'apparition de Shulker
SILENCE_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
SILVERFISH_SPAWN_EGG	Silverfish Spawn Egg	Oeuf d'apparition de poisson d'argent
SKELETON_HORSE_SPAWN_EGG	Skeleton Horse Spawn Egg	Oeuf d'apparition de cheval-squelette
SKELETON_SKULL	Skeleton Skull	Crâne de squelette
SKELETON_SPAWN_EGG	Skeleton Spawn Egg	Oeuf d'apparition de squelette
SKELETON_WALL_SKULL	Skeleton Wall Skull	Crâne de squelette mural
SKULL_BANNER_PATTERN	Banner Pattern	Motif de bannière
SKULL_POTTERY_SHERD	Skull Pottery Sherd	Tesson de poterie de crâne
SLIME_BALL	Slimeball	Boule de slime
SLIME_BLOCK	Slime Block	Bloc de slime
SLIME_SPAWN_EGG	Slime Spawn Egg	Oeuf d'apparition de Slime
SMALL_AMETHYST_BUD	Small Amethyst Bud	Petit cristal d'améthyste
SMALL_DRIPLEAF	Small Dripleaf	Petite foliogoutte
SMITHING_TABLE	Smithing Table	Table de forge
SMOKER	Smoker	Fumoir
SMOOTH_BASALT	Smooth Basalt	Basalte lisse
SMOOTH_QUARTZ	Smooth Quartz Block	Bloc de quartz lisse
SMOOTH_QUARTZ_SLAB	Smooth Quartz Slab	Dalle de quartz lisse
SMOOTH_QUARTZ_STAIRS	Smooth Quartz Stairs	Escalier en quartz lisse
SMOOTH_RED_SANDSTONE	Smooth Red Sandstone	Grès rouge lisse
SMOOTH_RED_SANDSTONE_SLAB	Smooth Red Sandstone Slab	Dalle de grès rouge lisse
SMOOTH_RED_SANDSTONE_STAIRS	Smooth Red Sandstone Stairs	Escalier en grès rouge lisse
SMOOTH_SANDSTONE	Smooth Sandstone	Grès lisse
SMOOTH_SANDSTONE_SLAB	Smooth Sandstone Slab	Dalle de grès lisse
SMOOTH_SANDSTONE_STAIRS	Smooth Sandstone Stairs	Escalier en grès lisse
SMOOTH_STONE	Smooth Stone	Roche lisse
SMOOTH_STONE_SLAB	Smooth Stone Slab	Dalle de roche lisse
SNIFFER_EGG	Sniffer Egg	Oeuf de renifleur
SNIFFER_SPAWN_EGG	Sniffer Spawn Egg	Oeuf d'apparition de renifleur
SNORT_POTTERY_SHERD	Snort Pottery Sherd	Tesson de poterie de renifleur
SNOUT_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
SNOW	Snow	Neige
SNOWBALL	Snowball	Boule de neige
SNOW_BLOCK	Snow Block	Bloc de neige
SNOW_GOLEM_SPAWN_EGG	Snow Golem Spawn Egg	Oeuf d'apparition de golem de neige
SOUL_CAMPFIRE	Soul Campfire	Feu de camp des âmes
SOUL_FIRE	Soul Fire	Feu des âmes
SOUL_LANTERN	Soul Lantern	Lanterne des âmes
SOUL_SAND	Soul Sand	Sable des âmes
SOUL_SOIL	Soul Soil	Terre des âmes
SOUL_TORCH	Soul Torch	Torche des âmes
SOUL_WALL_TORCH	Soul Wall Torch	Torche des âmes murale
SPAWNER	Monster Spawner	Générateur de créatures
SPECTRAL_ARROW	Spectral Arrow	Flèche spectrale
SPIDER_EYE	Spider Eye	Oeil d'araignée
SPIDER_SPAWN_EGG	Spider Spawn Egg	Oeuf d'apparition d'araignée
SPIRE_ARMOR_TRIM_SMITHING_TEMPLATE	Smithing Template	Modèle de forge
SPLASH_POTION	Splash Potion	Potion jetable
SPONGE	Sponge	Éponge
SPORE_BLOSSOM	Spore Blossom	Fleur sporifère
SPRUCE_BOAT	Spruce Boat	Bateau en sapin
SPRUCE_BUTTON	Spruce Button	Bouton en sapin
SPRUCE_CHEST_BOAT	Spruce Boat with Chest	Bateau de stockage en sapin
SPRUCE_DOOR	Spruce Door	Porte en sapin
SPRUCE_FENCE	Spruce Fence	Barrière en sapin
SPRUCE_FENCE_GATE	Spruce Fence Gate	Portillon en sapin
SPRUCE_HANGING_SIGN	Spruce Hanging Sign	Pancarte suspendue en sapin
SPRUCE_LEAVES	Spruce Leaves	Feuilles de sapin
SPRUCE_LOG	Spruce Log	Bûche de sapin
SPRUCE_PLANKS	Spruce Planks	Planches de sapin
SPRUCE_PRESSURE_PLATE	Spruce Pressure Plate	Plaque de pression en sapin
SPRUCE_SAPLING	Spruce Sapling	Pousse de sapin
SPRUCE_SHELF	Spruce Shelf	Étagère en sapin
SPRUCE_SIGN	Spruce Sign	Pancarte en sapin
SPRUCE_SLAB	Spruce Slab	Dalle en sapin
SPRUCE_STAIRS	Spruce Stairs	Escalier en sapin
SPRUCE_TRAPDOOR	Spruce Trapdoor	Trappe en sapin
SPRUCE_WALL_HANGING_SIGN	Spruce Wall Hanging Sign	Pancarte suspendue en sapin murale
SPRUCE_WALL_SIGN	Spruce Wall Sign	Pancarte en sapin murale
SPRUCE_WOOD	Spruce Wood	Bois de sapin
SPYGLASS	Spyglass	Longue-vue
SQUID_SPAWN_EGG	Squid Spawn Egg	Oeuf d'apparition de poulpe
STICK	Stick	Bâton
STICKY_PISTON	Sticky Piston	Piston collant
STONE	Stone	Roche
STONECUTTER	Stonecutter	Tailleur de pierre
STONE_AXE	Stone Axe	Hache en pierre
STONE_BRICKS	Stone Bricks	Pierre taillée
STONE_BRICK_SLAB	Stone Brick Slab	Dalle de pierre taillée
STONE_BRICK_STAIRS	Stone Brick Stairs	Escalier en pierre taillée
STONE_BRICK_WALL	Stone Brick Wall	Muret de pierre taillée
STONE_BUTTON	Stone Button	Bouton en pierre
STONE_HOE	Stone Hoe	Houe en pierre
STONE_PICKAXE	Stone Pickaxe	Pioche en pierre
STONE_PRESSURE_PLATE	Stone Pressure Plate	Plaque de pression en pierre
STONE_SHOVEL	Stone Shovel	Pelle en pierre
STONE_SLAB	Stone Slab	Dalle de roche
STONE_SPEAR	Stone Spear	Lance en pierre
STONE_STAIRS	Stone Stairs	Escalier en roche
STONE_SWORD	Stone Sword	Épée en pierre
STRAY_SPAWN_EGG	Stray Spawn Egg	Oeuf d'apparition de vagabond
STRIDER_SPAWN_EGG	Strider Spawn Egg	Oeuf d'apparition d'arpenteur
STRING	String	Ficelle
STRIPPED_ACACIA_LOG	Stripped Acacia Log	Bûche d'acacia écorcée
STRIPPED_ACACIA_WOOD	Stripped Acacia Wood	Bois d'acacia écorcé
STRIPPED_BAMBOO_BLOCK	Block of Stripped Bamboo	Bloc de bambou écorcé
STRIPPED_BIRCH_LOG	Stripped Birch Log	Bûche de bouleau écorcée
STRIPPED_BIRCH_WOOD	Stripped Birch Wood	Bois de bouleau écorcé
STRIPPED_CHERRY_LOG	Stripped Cherry Log	Bûche de cerisier écorcée
STRIPPED_CHERRY_WOOD	Stripped Cherry Wood	Bois de cerisier écorcé
STRIPPED_CRIMSON_HYPHAE	Stripped Crimson Hyphae	Hyphes carmin dénudées
STRIPPED_CRIMSON_STEM	Stripped Crimson Stem	Tige carmin dénudée
STRIPPED_DARK_OAK_LOG	Stripped Dark Oak Log	Bûche de chêne noir écorcée
STRIPPED_DARK_OAK_WOOD	Stripped Dark Oak Wood	Bois de chêne noir écorcé
STRIPPED_JUNGLE_LOG	Stripped Jungle Log	Bûche d'acajou écorcée
STRIPPED_JUNGLE_WOOD	Stripped Jungle Wood	Bois d'acajou écorcé
STRIPPED_MANGROVE_LOG	Stripped Mangrove Log	Bûche de palétuvier écorcée
STRIPPED_MANGROVE_WOOD	Stripped Mangrove Wood	Bois de palétuvier écorcé
STRIPPED_OAK_LOG	Stripped Oak Log	Bûche de chêne écorcée
STRIPPED_OAK_WOOD	Stripped Oak Wood	Bois de chêne écorcé
STRIPPED_PALE_OAK_LOG	Stripped Pale Oak Log	Bûche de chêne pâle écorcée
STRIPPED_PALE_OAK_WOOD	Stripped Pale Oak Wood	Bois de chêne pâle écorcé
STRIPPED_SPRUCE_LOG	Stripped Spruce Log	Bûche de sapin écorcée
STRIPPED_SPRUCE_WOOD	Stripped Spruce Wood	Bois de sapin écorcé
STRIPPED_WARPED_HYPHAE	Stripped Warped Hyphae	Hyphes biscornues dénudées
